name,board,scale,true_deg,estimated_deg,abs_error_deg,relative_error_deg,ms,detected,method
04_missing_hole_11,04,1.0,-10.0,-10.0,0.0,0.0,53.8,True,flood
04_missing_hole_16,04,1.0,-7.0,-6.899,0.101,0.101,53.7,True,flood
05_missing_hole_01,05,1.0,8.0,8.062,0.062,0.062,45.5,True,flood
05_missing_hole_06,05,1.0,-6.0,-6.122,0.122,0.122,46.8,True,flood
06_missing_hole_01,06,1.0,10.0,10.002,0.002,0.002,48.1,True,flood
06_missing_hole_06,06,1.0,-3.0,-3.102,0.102,0.102,38.7,True,flood
07_missing_hole_01,07,1.0,-8.0,-7.96,0.04,0.04,39.4,True,flood
07_missing_hole_06,07,1.0,0.0,,,,117.0,False,threshold
08_missing_hole_01,08,1.0,-2.0,-2.024,0.024,0.024,35.9,True,flood
08_missing_hole_06,08,1.0,6.0,6.371,0.371,0.371,59.8,True,flood
09_missing_hole_01,09,1.0,-6.0,-6.059,0.059,0.059,48.1,True,flood
09_missing_hole_06,09,1.0,-5.0,-4.963,0.037,0.037,45.3,True,flood
10_missing_hole_01,10,1.0,-3.0,-2.952,0.048,0.048,35.7,True,flood
11_missing_hole_01,11,1.0,10.0,10.032,0.032,0.032,40.4,True,flood
11_missing_hole_06,11,1.0,2.0,2.126,0.126,0.126,27.8,True,flood
12_missing_hole_01,12,1.0,2.0,2.313,0.313,0.313,36.8,True,flood
12_missing_hole_06,12,1.0,7.0,7.056,0.056,0.056,41.1,True,flood
01_mouse_bite_01,01,1.0,-6.0,-6.133,0.133,0.133,35.5,True,flood
01_mouse_bite_06,01,1.0,-10.0,-10.126,0.126,0.126,51.7,True,flood
01_mouse_bite_11,01,1.0,7.0,7.018,0.018,0.018,33.9,True,flood
01_mouse_bite_16,01,1.0,9.0,9.047,0.047,0.047,38.8,True,flood
04_mouse_bite_01,04,1.0,4.0,4.032,0.032,0.032,46.8,True,flood
04_mouse_bite_06,04,1.0,-4.0,-3.933,0.067,0.067,47.2,True,flood
04_mouse_bite_11,04,1.0,1.0,1.024,0.024,0.024,67.5,True,flood
04_mouse_bite_16,04,1.0,9.0,9.037,0.037,0.037,95.3,True,flood
05_mouse_bite_01,05,1.0,6.0,6.012,0.012,0.012,31.5,True,flood
05_mouse_bite_06,05,1.0,3.0,3.096,0.096,0.096,31.9,True,flood
06_mouse_bite_01,06,1.0,-3.0,-3.102,0.102,0.102,41.3,True,flood
06_mouse_bite_06,06,1.0,-3.0,-3.102,0.102,0.102,43.7,True,flood
07_mouse_bite_01,07,1.0,5.0,,,,123.6,False,threshold
07_mouse_bite_06,07,1.0,-4.0,,,,135.8,False,threshold
08_mouse_bite_01,08,1.0,7.0,7.053,0.053,0.053,60.9,True,flood
08_mouse_bite_06,08,1.0,-8.0,-7.876,0.124,0.124,62.0,True,flood
09_mouse_bite_01,09,1.0,-1.0,,,,147.2,False,threshold
09_mouse_bite_06,09,1.0,8.0,,,,164.6,False,threshold
10_mouse_bite_01,10,1.0,1.0,0.999,0.001,0.001,23.0,True,flood
11_mouse_bite_01,11,1.0,2.0,2.126,0.126,0.126,31.3,True,flood
11_mouse_bite_06,11,1.0,3.0,3.013,0.013,0.013,40.1,True,flood
12_mouse_bite_01,12,1.0,5.0,5.148,0.148,0.148,50.5,True,flood
12_mouse_bite_06,12,1.0,2.0,2.313,0.313,0.313,46.5,True,flood
01_open_circuit_01,01,1.0,9.0,9.047,0.047,0.047,46.3,True,flood
01_open_circuit_06,01,1.0,1.0,1.148,0.148,0.148,36.9,True,flood
01_open_circuit_11,01,1.0,-1.0,-1.162,0.162,0.162,33.4,True,flood
01_open_circuit_16,01,1.0,2.0,2.101,0.101,0.101,34.5,True,flood
04_open_circuit_01,04,1.0,1.0,1.024,0.024,0.024,67.6,True,flood
04_open_circuit_06,04,1.0,4.0,4.032,0.032,0.032,49.7,True,flood
04_open_circuit_11,04,1.0,7.0,6.859,0.141,0.141,73.0,True,flood
04_open_circuit_16,04,1.0,-10.0,-10.0,0.0,0.0,57.8,True,flood
05_open_circuit_01,05,1.0,-2.0,-2.257,0.257,0.257,40.0,True,flood
05_open_circuit_06,05,1.0,2.0,2.052,0.052,0.052,39.4,True,flood
06_open_circuit_01,06,1.0,7.0,7.012,0.012,0.012,46.9,True,flood
06_open_circuit_06,06,1.0,-1.0,-1.266,0.266,0.266,41.3,True,flood
07_open_circuit_01,07,1.0,-8.0,-7.96,0.04,0.04,42.6,True,flood
07_open_circuit_06,07,1.0,8.0,,,,132.4,False,threshold
08_open_circuit_01,08,1.0,7.0,7.053,0.053,0.053,80.0,True,flood
08_open_circuit_06,08,1.0,-3.0,-3.094,0.094,0.094,73.9,True,flood
09_open_circuit_01,09,1.0,6.0,6.31,0.31,0.31,39.5,True,flood
09_open_circuit_06,09,1.0,-5.0,-4.963,0.037,0.037,38.6,True,flood
10_open_circuit_01,10,1.0,-4.0,-4.173,0.173,0.173,35.0,True,flood
10_open_circuit_06,10,1.0,-4.0,-4.173,0.173,0.173,37.6,True,flood
11_open_circuit_05,11,1.0,6.0,6.165,0.165,0.165,35.0,True,flood
11_open_circuit_10,11,1.0,-1.0,-1.426,0.426,0.426,29.1,True,flood
12_open_circuit_05,12,1.0,7.0,7.056,0.056,0.056,41.1,True,flood
12_open_circuit_10,12,1.0,-8.0,-7.986,0.014,0.014,45.6,True,flood
01_short_05,01,1.0,8.0,8.034,0.034,0.034,33.8,True,flood
01_short_10,01,1.0,-7.0,-7.033,0.033,0.033,35.3,True,flood
01_short_15,01,1.0,5.0,5.028,0.028,0.028,37.6,True,flood
01_short_20,01,1.0,8.0,8.034,0.034,0.034,38.9,True,flood
04_short_05,04,1.0,3.0,2.991,0.009,0.009,66.8,True,flood
04_short_10,04,1.0,-3.0,-3.157,0.157,0.157,56.5,True,flood
04_short_15,04,1.0,-4.0,-3.933,0.067,0.067,55.8,True,flood
04_short_20,04,1.0,6.0,6.157,0.157,0.157,74.6,True,flood
05_short_05,05,1.0,-5.0,-5.024,0.024,0.024,39.6,True,flood
05_short_10,05,1.0,6.0,6.012,0.012,0.012,59.3,True,flood
06_short_05,06,1.0,7.0,7.012,0.012,0.012,50.4,True,flood
06_short_10,06,1.0,9.0,9.058,0.058,0.058,48.3,True,flood
07_short_04,07,1.0,-1.0,,,,107.3,False,threshold
07_short_09,07,1.0,7.0,,,,131.2,False,threshold
08_short_04,08,1.0,-1.0,-0.851,0.149,0.149,65.4,True,flood
08_short_09,08,1.0,0.0,0.0,0.0,0.0,47.2,True,flood
09_short_04,09,1.0,10.0,,,,169.2,False,threshold
09_short_09,09,1.0,9.0,9.042,0.042,0.042,53.3,True,flood
10_short_04,10,1.0,8.0,7.881,0.119,0.119,39.5,True,flood
11_short_04,11,1.0,-9.0,-8.98,0.02,0.02,41.0,True,flood
11_short_09,11,1.0,-10.0,-9.936,0.064,0.064,35.1,True,flood
12_short_04,12,1.0,-7.0,-6.986,0.014,0.014,39.3,True,flood
12_short_09,12,1.0,2.0,2.313,0.313,0.313,37.0,True,flood
01_spur_04,01,1.0,-9.0,-9.029,0.029,0.029,36.8,True,flood
01_spur_09,01,1.0,1.0,1.148,0.148,0.148,30.9,True,flood
01_spur_14,01,1.0,0.0,0.0,0.0,0.0,32.6,True,flood
01_spur_19,01,1.0,-6.0,-6.133,0.133,0.133,33.5,True,flood
04_spur_04,04,1.0,3.0,2.991,0.009,0.009,46.0,True,flood
04_spur_09,04,1.0,9.0,9.037,0.037,0.037,84.8,True,flood
04_spur_14,04,1.0,-5.0,-5.022,0.022,0.022,53.4,True,flood
04_spur_19,04,1.0,-3.0,-3.157,0.157,0.157,55.8,True,flood
05_spur_04,05,1.0,7.0,7.088,0.088,0.088,45.1,True,flood
05_spur_09,05,1.0,-9.0,-9.168,0.168,0.168,47.8,True,flood
06_spur_04,06,1.0,-10.0,-9.959,0.041,0.041,50.7,True,flood
06_spur_09,06,1.0,6.0,5.993,0.007,0.007,36.5,True,flood
07_spur_04,07,1.0,-8.0,-7.96,0.04,0.04,39.5,True,flood
07_spur_09,07,1.0,1.0,,,,110.4,False,threshold
08_spur_04,08,1.0,2.0,2.254,0.254,0.254,35.7,True,flood
08_spur_09,08,1.0,6.0,6.371,0.371,0.371,58.5,True,flood
09_spur_04,09,1.0,3.0,3.237,0.237,0.237,37.1,True,flood
09_spur_09,09,1.0,-5.0,-4.963,0.037,0.037,38.5,True,flood
10_spur_04,10,1.0,-6.0,-5.936,0.064,0.064,35.4,True,flood
11_spur_04,11,1.0,8.0,8.071,0.071,0.071,45.6,True,flood
11_spur_09,11,1.0,-3.0,-3.037,0.037,0.037,42.0,True,flood
12_spur_04,12,1.0,-1.0,-1.054,0.054,0.054,45.5,True,flood
12_spur_09,12,1.0,-4.0,-3.952,0.048,0.048,49.7,True,flood
01_spurious_copper_04,01,1.0,2.0,2.101,0.101,0.101,33.2,True,flood
01_spurious_copper_09,01,1.0,3.0,3.093,0.093,0.093,29.8,True,flood
01_spurious_copper_14,01,1.0,-1.0,-1.162,0.162,0.162,28.0,True,flood
01_spurious_copper_19,01,1.0,9.0,9.047,0.047,0.047,41.8,True,flood
